model,question,rouge1,rouge2,rougeL
phi2,What should my activity level be first week after surgery?,0.09649122807017546,0.008849557522123894,0.052631578947368425
phi2,How do I care for surgical drains?,0.1824104234527687,0.02622950819672131,0.09771986970684038
phi2,When can I wear regular clothes after surgery?,0.18357487922705312,0.00975609756097561,0.10628019323671496
phi2,How do I manage muscle spasms after back surgery?,0.1322314049586777,0.03333333333333333,0.09090909090909091
phi2,What vitamin supplements should I take after surgery?,0.16129032258064518,0.016260162601626018,0.11290322580645161
solar,What diet should I follow immediately after heart surgery?,0.26495726495726496,0.04310344827586207,0.17094017094017094
solar,How long should I wait to drive after abdominal surgery?,0.24539877300613494,0.04968944099378882,0.15950920245398773
solar,When can I return to work after bypass surgery?,0.33170731707317075,0.01970443349753695,0.14634146341463414
solar,What sleeping position is best after hip replacement?,0.3707865168539326,0.17045454545454547,0.20224719101123595
solar,How soon can I shower after spinal surgery?,0.25287356321839083,0.046511627906976744,0.1724137931034483
solar,What signs of infection should I watch for after surgery?,0.2762430939226519,0.033519553072625705,0.16574585635359115
solar,When can I resume sexual activity after heart surgery?,0.19736842105263158,0.05333333333333333,0.10526315789473684
solar,What breathing exercises should I do after lung surgery?,0.27184466019417475,0.04901960784313725,0.10679611650485435
solar,How should I manage constipation after surgery?,0.29107981220657275,0.06635071090047394,0.1596244131455399
solar,What activities should I avoid after cataract surgery?,0.23225806451612904,0.06493506493506494,0.10967741935483871
solar,How do I prevent blood clots after surgery?,0.17424242424242425,0.015267175572519083,0.07575757575757575
solar,When can I go up and down stairs after knee surgery?,0.15,0.012658227848101264,0.10000000000000002
solar,What medications can I take for pain after surgery?,0.2985074626865672,0.02010050251256281,0.11940298507462686
solar,How long will swelling last after surgery?,0.19867549668874174,0.01342281879194631,0.09271523178807947
solar,When can I start weight training after hernia surgery?,0.20304568527918782,0.03076923076923077,0.11167512690355332
solar,What should I eat to promote healing after surgery?,0.24509803921568632,0.029702970297029705,0.12745098039215685
solar,When can I resume normal bathing after surgery?,0.24581005586592175,0.011299435028248588,0.1005586592178771
solar,How do I manage diabetes after surgery?,0.20652173913043478,0.04395604395604396,0.11956521739130434
solar,What can I do about insomnia after surgery?,0.22727272727272727,0.032679738562091505,0.1103896103896104
solar,When should I call the doctor after surgery?,0.29530201342281875,0.027210884353741496,0.1208053691275168
solar,How do I prevent pneumonia after surgery?,0.17460317460317462,0.032,0.08730158730158731
solar,What should my activity level be first week after surgery?,0.2617801047120419,0.021164021164021163,0.1256544502617801
solar,How do I care for surgical drains?,0.21604938271604937,0.043478260869565216,0.11728395061728394
solar,When can I wear regular clothes after surgery?,0.25149700598802394,0.048484848484848485,0.1437125748502994
solar,How do I manage muscle spasms after back surgery?,0.23076923076923075,0.06666666666666667,0.13186813186813187
solar,What vitamin supplements should I take after surgery?,0.2654867256637168,0.026785714285714288,0.1415929203539823
